,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
10,cargo-zigbuild,rust-cross/cargo-zigbuild,[],compilation,https://github.com/rust-cross/cargo-zigbuild,https://github.com/rust-cross/cargo-zigbuild,MIT,2022-02-16 06:38:36,2026-06-10 23:51:42,2026-06-10 23:51:36,706,23.0,93.0,11,252.0,21.0,161.0,2525,2026-04-26 03:15:30,0.22.3,673245.0,12947.0,100.0,Compile Cargo project with zig as linker.,161.0,161.0,46.0,27,True,3,,
11,rust-skia,rust-skia/rust-skia,[],graphics,https://github.com/rust-skia/rust-skia,https://github.com/rust-skia/rust-skia,MIT,2018-12-07 07:25:31,2026-06-06 09:00:04,2026-06-06 09:00:04,4272,110.0,189.0,27,805.0,59.0,343.0,1781,,,165.0,1.0,100.0,Rust Bindings for the Skia Graphics Library.,3029.0,3029.0,70.0,26,True,1,,
12,tonic,hyperium/tonic,[],isc,https://github.com/grpc/grpc-rust,https://github.com/grpc/grpc-rust,MIT,2019-08-09 17:59:37,2026-06-05 23:13:10,2026-06-05 23:13:09,1456,78.0,1185.0,76,1563.0,301.0,645.0,12281,2026-05-07 00:51:47,tonic-web-v0.14.6,30.0,1.0,24.0,A native gRPC client & server implementation with async/await support.,2.0,2.0,316.0,25,True,1,,grpc/grpc-rust
13,miri,rust-lang/miri,[],tools,https://github.com/rust-lang/miri,https://github.com/rust-lang/miri,Apache-2.0,2015-11-12 21:51:25,2026-06-11 15:57:31,2026-06-11 15:26:27,22594,1099.0,462.0,56,3886.0,161.0,1042.0,6298,,,,,,An interpreter for Rusts mid-level intermediate representation.,,,392.0,25,True,2,,
14,zbus,dbus2/zbus,['dbus'],ipc,https://github.com/z-galaxy/zbus,https://github.com/z-galaxy/zbus,,2023-05-11 07:39:49,2026-06-09 14:05:22,2026-06-09 14:05:20,6191,105.0,148.0,3,1192.0,92.0,503.0,709,2026-05-29 14:40:57,zbus-5.16.0,,,100.0,Rust D-Bus crate.,48229.0,48229.0,143.0,25,False,1,,z-galaxy/zbus
15,cozo,cozodb/cozo,[],edb,https://github.com/cozodb/cozo,https://github.com/cozodb/cozo,MPL-2.0,2022-10-14 09:28:11,2024-12-04 12:49:06,2024-12-04 12:49:06,1813,,152.0,40,44.0,47.0,114.0,4024,2023-12-11 09:09:22,0.7.6,23381.0,531.0,19.0,"A transactional, relational-graph-vector database that uses Datalog for query. The hippocampus for AI!.",54.0,54.0,21.0,24,False,2,,
16,ntpd-rs,pendulum-project/ntpd-rs,[],time-sync,https://github.com/pendulum-project/ntpd-rs,https://github.com/pendulum-project/ntpd-rs,,2022-03-04 19:15:34,2026-06-11 15:37:42,2026-06-11 14:47:22,3065,121.0,80.0,16,1922.0,75.0,280.0,1093,2026-05-07 09:04:45,1.8.0,10687.0,227.0,41.0,"A full-featured implementation of the Network Time Protocol, including NTS support.",13.0,13.0,41.0,23,False,1,,
17,cargo-about,EmbarkStudios/cargo-about,[],tools,https://github.com/EmbarkStudios/cargo-about,https://github.com/EmbarkStudios/cargo-about,Apache-2.0,2019-11-01 08:38:11,2026-06-05 07:30:59,2026-06-05 07:30:30,230,5.0,43.0,3,209.0,25.0,71.0,739,2026-04-24 13:43:08,0.9.0,254062.0,3215.0,39.0,Cargo plugin to generate list of all licenses for a crate.,64.0,64.0,30.0,23,True,2,,
18,cyclonedx-rust-cargo,CycloneDX/cyclonedx-rust-cargo,[],tools,https://github.com/CycloneDX/cyclonedx-rust-cargo,https://github.com/CycloneDX/cyclonedx-rust-cargo,Apache-2.0,2019-05-21 20:48:15,2026-05-05 17:58:16,2026-05-05 17:58:16,1314,30.0,58.0,7,743.0,36.0,86.0,167,2026-03-19 09:36:02,cargo-cyclonedx-0.5.9,323202.0,4367.0,18.0,Creates CycloneDX Software Bill of Materials (SBOM) from Rust (Cargo) projects.,17.0,17.0,39.0,23,True,2,-1.0,
19,russh,Eugeny/russh,['pure-rust'],ssh,https://github.com/Eugeny/russh,https://github.com/Eugeny/russh,Apache-2.0,2022-02-07 22:04:56,2026-06-07 07:01:40,2026-06-07 07:01:40,846,79.0,256.0,6,439.0,65.0,203.0,1745,2026-06-05 11:20:05,0.61.2,,,67.0,Rust SSH client & server library.,,,114.0,22,True,1,-5.0,
20,puffin,EmbarkStudios/puffin,[],tools,https://github.com/EmbarkStudios/puffin,https://github.com/EmbarkStudios/puffin,Apache-2.0,2020-08-10 09:03:31,2026-04-22 15:29:58,2026-03-27 13:45:12,355,10.0,106.0,13,211.0,38.0,42.0,1715,2024-01-17 10:32:04,puffin-0.19.0,,,6.0,Friendly little instrumentation profiler for Rust.,1365.0,1365.0,44.0,22,True,3,,
21,ros2_rust,ros2-rust/ros2_rust,[],robotics,https://github.com/ros2-rust/ros2_rust,https://github.com/ros2-rust/ros2_rust,Apache-2.0,2017-11-26 10:45:09,2026-05-17 19:24:37,2026-05-16 16:01:16,357,12.0,202.0,40,387.0,72.0,158.0,1478,2026-01-18 18:44:57,0.7.0,,,9.0,Rust bindings for ROS 2.,,,56.0,22,True,1,,
22,kas,siemens/kas,[],yocto,https://github.com/siemens/kas,https://github.com/siemens/kas,MIT,2017-06-13 12:11:57,2026-06-08 11:20:20,2026-05-29 09:20:55,1197,35.0,201.0,24,54.0,28.0,103.0,575,,,,,,Setup tool for bitbake based projects.,98.0,98.0,89.0,21,True,1,,
23,linux-embedded-hal,rust-embedded/linux-embedded-hal,[],hal,https://github.com/rust-embedded/linux-embedded-hal,https://github.com/rust-embedded/linux-embedded-hal,Apache-2.0,2018-01-16 23:34:53,2026-02-12 07:00:57,2026-02-12 06:59:18,226,,57.0,20,84.0,23.0,22.0,311,2025-11-10 09:09:05,0.4.1,,,6.0,Implementation of the `embedded-hal` traits for Linux devices.,1667.0,1667.0,32.0,20,True,1,,
24,rust-i2cdev,rust-embedded/rust-i2cdev,[],character-device-drivers,https://github.com/rust-embedded/rust-i2cdev,https://github.com/rust-embedded/rust-i2cdev,Apache-2.0,2015-08-19 04:21:00,2026-02-11 20:05:50,2026-02-11 20:01:09,232,,59.0,16,64.0,5.0,26.0,229,2025-11-11 12:34:01,0.6.2,,,4.0,Rust library for interfacing with i2c devices under Linux.,1092.0,1092.0,31.0,20,True,1,,
